year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2021,MatePad T 10,Huawei,8,Android,10,"[('16', '2'), ('32', '2'), ('32', '4'), ('64', '2'), ('64', '4')]",111,['Accelerometer'],240.2 x 159 x 7.9,450,Nano-SIM,9.7,71.4,800 x 1280,156,150,5100
2021,Watch Fit Elegant,Huawei,,Proprietary,OS,"[('4',)]",111,"['Accelerometer', 'gyro', 'heart rate', 'SpO2']",46 x 30 x 10.7,27,,1.64,,280 x 456,326,130,
2021,Mate 40E,Huawei,8,Android,10,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'color spectrum']",158.6 x 72.5 x 8.8,188,Nano-SIM,6.5,89.3,1080 x 2376,402,600,4200
2021,P40 4G,Huawei,8,Android,10,"[('128', '4'), ('128', '8')]",111,"['Infrared Face ID', 'fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'color spectrum']",148.9 x 71.1 x 8.5,175,Nano-SIM,6.1,86.3,1080 x 2340,422,500,3800
2021,Mate X2,Huawei,8,Android,10,"[('256', '8'), ('512', '8'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer', 'color spectrum']",Unfolded: 161.8 x 145.8 x 8.2,295,Nano-SIM,8.0,87.3,2200 x 2480,413,2300,4500
2020,nova 8 Pro 5G,Huawei,8,Android,10,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",163.3 x 74.1 x 7.9,184,Nano-SIM,6.72,91.7,1236 x 2676,439,600,4000
2020,nova 8 5G,Huawei,8,Android,10,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",160.1 x 74.1 x 7.6,169,Nano-SIM,6.57,89.3,1080 x 2340,392,410,3800
2020,Enjoy 20 SE,Huawei,8,Android,10,"[('128', '4'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",165.7 x 76.9 x 9.3,206,Nano-SIM,6.67,84.3,1080 x 2400,395,160,5000
2020,nova 8 SE,Huawei,8,Android,10,"[('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",161.1 x 74.8 x 7.5,178,Nano-SIM,6.53,85.4,1080 x 2400,403,330,3800
2020,Mate 40 RS Porsche Design,Huawei,8,Android,10,"[('256', '8'), ('256', '12'), ('512', '12')]",111,"['Face ID', 'fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'infrared thermometer', 'color spectrum']",162.9 x 75.5 x 10.1,234,Nano-SIM,6.76,94.1,1344 x 2772,456,1400,4400
